Name,Email,Domain,Role
ubb,ubb@ubb.com,ubb,admin
teacher,teacher@teacher.com,ubb,teacher
andrei,andrei@ubb.com,ubb,student
marius,marius@ubb.com,ubb,student
george,george@ubb.com,ubb,student
maria,maria@ubb.com,ubb,student
ioana,ioana@ubb.com,ubb,student
sandor,sandor@ubb.com,ubb,student
carmen,carmen@ubb.com,ubb,student
raul,raul@ubb.com,ubb,student
phineas,phineas@ubb.com,ubb,student
xenia,xenia@ubb.com,ubb,student
sandra,sandra@ubb.com,ubb,student
ana,ana@ubb.com,ubb,student
patric,patric@ubb.com,ubb,student
gabriel,gabriel@ubb.com,ubb,student
parent,parent@ubb.com,ubb,parent
Goe,goe@ubb.com,ubb,parent
andre,andre@ubb.com,ubb,student
cristian,cristian@ubb.com,ubb,student
calugar,calugar@ubb.com,ubb,student
marian,marian@ubb.com,ubb,student
matei,matei@ubb.com,ubb,student
simon,simon@ubb.com,ubb,student
barny,barny@ubb.com,ubb,student
james,james@ubb.com,ubb,student
jimmy,jimmy@ubb.com,ubb,student
